Text,Code
What do jari litmanen and sami hyypiä have in common,1
Are the Javanese the largest and politically dominant ethnic group in Indonesia,1
What do beetles eat,1
"Restrained as usual, the House speaker calls the book ""perhaps the most important history of the American people in our generation""",0
What is the punishment for first-degree murder,1
"The first edition of Baugh's History was published in 1935; because so much has happened to English since then, it is fitting that its history be updated, not only to reflect more recent developments in dialect, lexicon, grammatical theory, and the universal adoption of the language as a lingua franca, but also to revise scholarship in the light of later research that either elaborates or confutes information that is now more than half a century old",0
"The NYPD suffered 23 fatalities-the second largest loss of life of any police force in history, exceeded only by the number of PAPD officers lost the same day",0
Where was Theodore Roosevelt born,1
"That includes The Flounder , published in the United States in 1978, an epic disquisition on the perfidy of women (Grass' leftism does not extend to feminism) that is narrated by a fish and continues through centuries, with asides on matters of sexual and culinary history",0
Did Fillmore run for President a second time,1
"Today the old building hosts the Edinburgh Experience, a 20-minute, 3-D slide show charting the history of the city and bringing to life the Edinburgh of today (April–October only)",0
Another argues that the past five years have been the greatest in human history (due to advances in health and quality of life),0
Rule from Bonn is now history,0
Can an elephant kill a rhinoceros,1
"In addition, ORs for residential history variables were adjusted for other variables included in the multivariate model, but not for each other, because the various residential variables were not mutually exclusive",0
"But in a chapter entitled—make that titled— “Americanisms,” the manual betrays both an unseemly nationalistic bias and an ignorance of the history of its own language",0
The FDNY suffered 343 fatalities- the largest loss of life of any emergency response agency in history,0
"(For additional background on the history of ""increasing returns"" and Brian Arthur's standing in the field, click for David Warsh's July 3, 1994,",0
"As the provincial capital, Jinan is the site of the Shandong Provincial Museum, where more than 400,000 items illustrate local history and nature",0
"In the entire history of the NFL, only Parcells and Don Shula have coached two different teams to the Super Bowl",0
"In addition, the history of the 2p cluster is somewhat obscure, as the 2p EGF gene is closest to the EGF gene at 4q27, whereas the 2p SLC4A gene is closest to the SLC4A at 4q13 (as no SLC4A gene is currently known to exist at 4q27)",0
Is an official language of Canada German,1
"Indeed, he sounds almost like a lefty relativist when he says we must accept ""global multiculturality"" and discard the ""linear"" view of history, which sees Western values as the inexorable fate of humankind",0
Why polar bear is a special species,1
The media debated whether Bush's drug history should be probed,0
How do sea otters insulate themselves,1
"Art history has flickered out, he says, and though art will continue to be made, each artist will follow his or her bliss, without any larger motive or connective scheme",0
Which state were Coolidge born in,1
"The chances of meeting a sophisticated Upper West Side woman in New York who would fall for a line like that are about as remote as encountering a singing possum in your basement, but Kidman's character continues to flirt with this loser during the longest and most excruciating dance scene in movie history",0
Did Lincoln win the election of 1860,1
"At baseline and monthly follow-up visits, patients had a full medical history and physical examination, a complete blood count (Coulter Electronics, Hialeah, Florida, USA), sputum AFB microscopy and culture, chest radiography, and serum  2 -microglobulin measurement ( 2 -microglobulin enzyme immunoassay (EIA); Coulter, Miami, Florida, USA)",0
The LAT quotes Janet Reno saying that the turn in the case came as a result of the most extensive criminal investigation in US history,0
"But most special, however, was this passage: ""A pie in the face, it's Soupy Sales stuff,"" said Andrew Smith, who teaches culinary history at the New School for Social Research""",0
The history of such handshakes suggests that such caution is not crazy,0
"On univariate analysis, we found an association of a history of viral hepatitis with postoperative mortality ( P = 0044) and a near association of a history of cirrhosis (with or without portal hypertension) with postoperative mortality ( P = 0053)",0
"So, for instance, the names of the farmed freshwater crayfish, koonac , and marron , have only short histories of usage in English, coincident with their utility, though they were first recorded in the 19th century",0
"To the north is the Museum of the Chinese Revolution (Zhongguo Gemin Lishi Bowuguan), with over 10,000 items that document revolutionary politics, most focusing on events in the early history of the Chinese Communist Party (1919–1949)",0
"The Ligurian coast that holidaymakers have dubbed the Italian Riviera has an ancient history of piracy and commerce, not always easily distinguishable",0
"What they mean when they say that, rather than how she got to be where she is, will determine Albright's place in history",0
"If the instigation for jihad against the Jews and the Americans to liberate the holy places ""is considered a crime,""he said,""let history be a witness that I am a criminal""",0
"Modifications are time-stamped and associated with the curator's name, providing a complete history of the annotation",0
"American business, in fact, has a long history of bringing in outsiders to transform companies, though these outsiders haven't always been called consultants",0
"In this situation, Johnson's impeachment looms as the operative precedent: a case of men who despised and battled their president--perhaps with good reason--but whose zeal in pursuing flimsy impeachment charges turned the judgment of history against them",0
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware,1
What happened from 1730 to 1744,1
When did James Monroe die,1
What method is used by Kangaroos to travel,1
"*The scalpers-and-brokers point was brought to Chatterbox's attention by Randolph Cohen's brother Andrew, who is an assistant professor of history at Syracuse",0
"Idealism sweet as ether boils off the pages of the book that we've been assigned to read and discuss this week, Jay Rosen's history of and argument for ""public journalism,"" What Are Journalists For",0
The legislative history reveals no explanation for this change,0
Is English Ghana's official language,1
"There are five main galleries dedicated to such subjects as history, national sports, and na tural history",0
Is there a small heliport at Balzers in Liechtenstein available for charter helicopter flights ,1
"Nearly 4,000 people a day are paying an obscene $12 per head to see the shimmering machines, making it by far the best-attended show in the Guggenheim's history",0
Because of its long history New Mexico will always be a bountiful reservoir for the serious folklorist,0
We believe that people with a history of any proven or suspected liver or thyroid abnormality in the previous two years should avoid mefloquine,0
"the world's suspicions about his truthfulness in many things will dog his place in history""",0
How long is a leopard's tail,1
"this garish and confused moment in history, with surgical precision"" (David Ansen, Newsweek ) Performances by Kevin Kline, Joan Allen, and Sigourney Weaver are said to be so solid that they compensate for the unlikability of their characters",0
It took all of human history to 1800 to reach the first billion,0
Along with this physical transformation came a cultural change: Ponce has become a focus for social events that celebrate Puerto Rican history and tradition; several major festivals are held here throughout the year,0
"Did Webster write, ""I can now sleep of nights""",1
"Here visitors can join a guided tour of the caves and tunnels, which also contain a waxwork exhibition depicting episodes of Hungarian history",0
When did Canada have one of the largest armed forces in the world,1
This put Las Vegas on the map and was one of the crucial turning points of its history,0
Is Canada a member of the OECD,1
"The NYT reports inside that President Clinton seized on Dole's announcement to take a shot at George W Bush, calling him the first candidate in the history of the modern era who's given up federal funding so that he could raise an unlimited sum of money, something Clinton says he'd been urged to do in the past but did not because it ""wasn't fair""",0
After a walk of about half a mile you’ll find the plain façade of the Museo de Arte e Historia (San Juan Museum of Art and History) on your left,0
"Ajami, the author of The Arab Predicament , the classic 1981 intellectual history of modern Arab political thought, is probably the second most influential Arab-American public intellectual",0
Did Coolidge get in Amherst College,1
"Stein's attempt to show otherwise is a landmark in literature, a unique episode in the history of thought",0
"We regressed YOL and YHL first on age, age squared, race, and smoking history (former or never), and second on all of the covariates listed above",0
"The natural course of fibromyalgia shows that symptoms are generally the same over at least 7 years [ 3 ]  A stable, sharp reduction in symptoms in seven months, as we have reported here, is a definite alteration of the natural history of fibromyalgia",0
This approach to assessment may be quite distinct from familiar history taking and physical examination techniques,0
"It imitated the Mexican mural art that was created during the postrevolutionary period of Mexico’s history, and was intended to promote political action and raise consciousness",0
Where was the largest elephant ever recorded shot,1
Has Indonesia the world 's largest Muslim population ,1
Did Lincoln beat John C Breckinridge in the 1860 election,1
Linda Tripp Makes Medical History,0
"It also brings weaknesses: This is radical history, and Cook's description of post-World War I race riots, of the Wobblies' agitation in the 1920s, of mid-1930s anti-communism (which she calls a ""Red Scare""), could have been written by Earl Browder",0
Where is the National Orchid Garden,1
"Here is an example from my own field, Jewish family names: the bibliography lists Benzion C Kaganoff's A Dictionary of Jewish Names and Their History , but the few times this work is cited in A Dictionary of Surnames , a disclaimer follows immediately to the effect that no support could be found for Kaganoff's explanation (at the name Gordon for instance)",0
Douching and history of chlamydia were also strongly associated with performing oral sex; adding each of these variables reduced the parameter estimate and statistical significance of the association with performing oral sex,0
"On the question of whether the proposals of the truth school will denigrate other values more important than truth, we have a long history from which to learn",0
Fans rated the bite the most disgusting offense in the history of sports,0
"After we had put the paper ""to bed"" on Thursday mornings, we would sit and talk about history",0
What happened in 1833,1
"Then he compounds his error by investing these background details with portentous meanings about America and its history, and he compounds the compound by overheating the plot (you will have to discover the details for yourself)",0
A Brief History,0
"As compared to the negative controls (group B- 11% and group C- 14%), crypt apoptosis was frequent in A-GVHD- 91% with statistically significant difference (Table 2K 2 ) With proper clinical history, the diagnosis of A-GVHD can be suggested if apoptosis is observed in and around the crypts",0
On Wednesday he vowed never to discuss his drug history,0
"See TSA report, ""Selectee Status of September 11th Hijackers,"" undated; see also UAL letter,""Flight 175- 11 Sep01 Passenger ACI Check-in History,"" July 11, 2002",0
"After the Times published a review by Marilyn Yalom in its daily review slot calling the book ""dazzling,"" the Boston Globe reported that Angier had positively reviewed Yalom's A History of the Breast two years ago",0
Is romania a semi-presidential unitary state,1
"While it seems likely that fazio the noun as well as Fazio the name descend from an otherwise benign, even auspicious name, the history of other names is not so easy to untangle",0
"The imposing Schiller-Denkmal (1868), a monument sculpted in Carrara marble, surrounds the writer with the muses of philosophy, poetry, drama, and history",0
The Majic Bus illustrates both the charms and flaws of Brinkley's notion of public history,0
"Not ""celebrations of multiculturalism,"" but a history, for example, that connects Thomas Jefferson and Malcolm X, as Rodriguez writes",0
"The problem is that those are real people he misquotes, real history he rewrites",0
Do penguins feed on krill,1
"The confluence of mythology and history in China took place around 4,000 years ago during what is referred to as the Xia (Hsia) Dynasty",0
What makes it more difficult for a diving duck to fly,1
"Castro was imprisoned and put on trial; his legendary two-hour defense speech, later published as History Will Absolve Me, became a revolutionary manifesto",0
"Seagram stock, dragged down by Universal, is stagnating through the biggest bull market in history",0
What is an otter's den called,1
"To begin with, the results should encourage researchers to develop animal models that reflect, to the fullest extent possible, what is known about the natural history and pathogenesis of the disease in humans, rather than designing trials to fit the animal models that are available",0
"He acknowledges ""where the sensitivity comes from,"" though he shows no understanding of the role the myth of the Antichrist played in the history of anti-Semitism, and he refuses to back away from his opinion that somewhere in Great Neck or West LA or Shaker Heights is living Satan's agent",0
Are Kangaroos Shy,1
Do wolves leave their pack,1
"Does it not seem just a little bizarre that we can make amends but never just one “amend”; that no matter how carefully we comb through history, we can never discover just one “annal”; that, sifting through the wreckage of a disaster, we can never find just one “smithereen”; and that we never contract a single “heebie-jeebie”",0
"In short, since the relevant timescale for the ergodic hypothesis to hold is vastly longer than the actual present history of the universe, the macroscopic features of the universe with respect to the specific sets of complex molecules that exist on this planet  in giant cold molecular clouds, and so forth  are kinetically trapped into an infinitesimal subset of those molecular species that might have come into existence in an ensemble of dierent histories of the universe",0
"Below, comments on the biggest merger in history",0
Are Count Volta 's original instruments and papers on display there ,1
A Brief History,0
What expression is part of a conceptual framework for testing computer systems,1
What religions are found in Uruguay,1
"At least, that was the guess of researchers working on the natural history and nutrition of the deer, which became listless and showed signs of depressed mood, hanging their heads and lowering their ears",0
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule,1
"Culturebox will appeal to history, that defense of scoundrels, to argue that television seems a pretty harmless way to distract children, at least when you compare it to the alternatives",0
With what party did Adams run for presidency,1
"In a testament to Las Vegas’s relentless pursuit of illusion,its modern visitors never recognize the landmarks that originally offered the city its shot at history: its natural springs, most of which have long since run empty",0
"It has been determined that preoperative risk factors for delirium were older age [ 24, 25, 26], prior cognitive impairment [ 24, 25], pre-existing cerebrovascular or other brain diseases, history of prior delirium [ 25], preoperative abnormal sodium [ 24], vision or hearing impairment [ 24, 26] and regular use of psychotropic drugs before admission [ 24]",0
"OSCE committee members designated each question or task in the 16 stations as one of 7 clinical skills, defined as follows: asking appropriate questions for the history (history-taking); performing the physical examination correctly (physical examination technique); understanding the pathophysiology of physical findings (physical examination knowledge); identifying abnormalities on physical examination (identification of abnormalities); developing appropriate differential diagnoses for the clinical information obtained (differential diagnosis); utilizing appropriate patient-doctor interaction techniques (patient interaction); and orally presenting the history and differential diagnosis after taking a clinical history (patient presentation)",0
Does the state court rule on the conformity of laws,1
American History X,0
"We hypothesized that because of a history of sedentarity, pain and/or a high prevalence of cardiovascular comorbidi-ties, patients diagnosed as having clinical and radiographic hip OA would tend to be overweight or obese, rather than underweight or of normal weight",0
"In a linear regression model, we observed a weak association between calorie adjusted soy intake and percent densities (partial regression coefficient b = 0009, P = 0004) after adjustment for age, BMI, parity, and family history of breast cancer",0
"In fact, Brookings did commission a history for its 75 th anniversary in 1991",0
When were the Great Sphinx and the Pyramids of Giza built,1
"In this sober, incisive, and riveting book, a well-documented history rather than a novelistic evocation of the man himself, Roudinesco cannot conceal her dismay that Lacan was not better behaved, more temperate in his appetites, less baroque in his provocations",0
"Nevertheless, the Post runs a story detailing the (mixed) accident history of EgyptAir",0
"Analysts predicted that with its prestigious history and associated properties, the team might fetch at least $350 million, twice the previous record for a baseball franchise",0
"Cynthia Gorney's new history of the conflict over abortion could serve as an advertisement for an imperiled form of journalism: the long, meticulously researched narrative of ideas in which unglamorous noncelebrities drive the action",0
Hollywood figures concocted shallow theories for this revival: 1) Americans want to learn from history; 2) we want to understand the century because it's now ending; 3) boomer filmmakers are revisiting the great world events of their childhood; and 4) they're visiting the war because they didn't fight it,0
You can also enjoy changing exhibits and family programs held at the Society headquarters and explore history in our state-of-the-art research library,0
Is Canada a member of the OECD,1
"Daimler-Benz, the maker of Mercedes cars, will buy Chrysler for around $35 billion, making, says USAT and the NYT , the all-stock purchase the largest industrial merger in history",0
A family history of wheezing or atopy was present in nine infants,0
During what period was Akhenaten a Pharaoh,1
It also fit with his history of taking on new challenges,0
Why is the giant otter becoming increasingly rare,1
When did he drop John from his name,1
"The novelty here is that selection on one locus depends on the history of gene frequencies at the other, “niche construction”, locus",0
But tension with the Catholic Church and a history of anti-Semitism still haunt the small community,0
What are some extinct predators of the kangaroo,1
Is Romania a secular state,1
NOTTTT  FOUND,1
Is it true that volta became professor of physics,1
"Sound and Light Show: The history of the Acropolis is brought to life through dancing lights and an informative narration, and the surrounding darkness really allows you to study the beauty of the Parthenon",0
Figure 4: GAO History: 1921 to the Present,0
"Two of Canada's best-known popular history writers, Peter C Newman and Pierre Berton, use the term almost exclusively in works they have written on Canada's North",0
"Conducted by the congressional General Accounting Office, a preliminary investigation of 531 Pentagon security checks claims that 92 percent are incomplete, and that in 12 percent of cases the Defense Department failed to follow leads pointing to financial problems, criminal histories, and alcohol and drug abuse",0
What did Coolidge address in 1924,1
"The most controversial academic book of the season is The Ecological Indian: Myth and History , by Brown anthropology professor Shepard Krech III",0
"In his immensely popular A Short History of the English People (1874), John Richard Green described the profound moral and cultural change that transformed the country in the late 16th and early 17th centuries",0
Where is Adams buried,1
Was Adams the first to introduce a bicameral legislature,1
"The oldest building in the park is Ashtown Castle, a former papal residence which has been renovated to house the splendid Phoenix Park Visitor Centre (open 9:30am– 6:30pm; adults IR£2, children IR£1; concessions; disabled access), which presents a video and an excellent two-floor exhibition on the history and wildlife of the park",0
When did he publish another memoria,1
Self-reported cerebrovascular histories are obtained for all patients and control subjects by administering the QVSS during the baseline interview [ 25 ] ,0
"This area has fallen into decay, but there are still vestiges of its fine history to be seen",0
Was King Victor Emmanuel III there to pay homage to Avogadro ,1
What was given by Aristotle for the hardened shield like forewings,1
"History has shown that military campaigns are only successful if their aims are defined beforehand, Le Figaro said, comparing Bill Clinton to ""a little boy who whistles in the dark to reassure himself""",0
"Mycenaean figurines and pottery, Classical Greek and Roman sculpture, and Byzantine icons, frescoes and tapestries are all well-displayed and illustrate very effectively the varied influences that make up the history of the city",0
"She seems to have confused James' irony with distance--when, in truth, few authors in history have achieved such pitiless and devastating intimacy",0
When did James Monroe introduce the Monroe Doctrine,1
When was the first photgraph of lincoln taken,1
"Inspired as these follies are, they pale before the state's most expensive boondoggle (and history's biggest bond default): the $26 billion WPPSS (Washington Public Power Supply System) cash-toss",0
Would a briefer history have been just as valuable,0
"Street is from the Latin via strata , a paved road, a phrase whose own history mirrors the relation of ride and road: via `road' is cognate not only with our way , but with a whole set of Latinate words suggesting movement: vehement, convey , and even vehicle itself; just as way is related to wag and wagon ",0
A Brief History,0
"As, say, ""part of history""",0
How did the supporters of Henry Clay feel about Fillmore in 1848,1
"In 1974, the radical historian Eugene Genovese (who has since become a Catholic conservative) published Roll, Jordan, Roll: The World the Slaves Made  Now a staple in college history courses, Roll, Jordan, Roll painted a picture of slaves not as mere victims of oppression but as creators of a vibrant life",0
"Vittorio Zucconi, Washington correspondent of La Repubblica of Rome, highlighted President Clinton's remark that 20 th century history is largely the history of massacres carried out in Europe by Europeans, and said that Europe is ""once again forcing Americans to take up the sword and die for villages whose names they don't even know""",0
"(Thus, English is a Germanic language because of the history of its structure, or grammar; were its lexicon alone to be considered, it might well be classified as a Romance language, owing to the large percentage of words of French and Latin origin)",0
Wander around the church (13th–15th century) to find some interesting artifacts of local history,0
a brief History,0
"Included cases had a later age at menarche, were more likely to be premenopausal, and were more likely to report a family history of breast cancer than cases excluded from the analysis (data not shown)",0
Can the title of this famous 1811 paper be roughly translated into english,1
The History of Enzyme Replacement Therapy,0
"After a brief history of the alphabet, each of the twenty-six succeeding chapters is devoted to a single letter, with a final one discussing signs and symbols",0
Did Lincoln's Wife's Family support slavery,1
", the opening of the Drake Passage and the cooling of Antarctica) and phylogenetic history have played major roles in generating current patterns in diversity, and tend to emphasise regional (and especially longitudinal) differences therein (Qian and Ricklefs 2004; Ricklefs 2004)",0
"May I suggest you take your finger off the button, calm down, and review the history of Vancouver's 10 year experiment doing just such a thing",0
When was Coolidge born,1
", opportunities for founder events) in the history of recently formed species",0
A series of three-dimensional dioramas present the history of Singapore from its earliest days as an ancient aboriginal settlement to its days as a British trading port under Japanese occupation and the post-war campaign for independence,0
"The building now houses the Heraldic Museum and Genealogical Office, with exhibits on the history of heraldry",0
Do they prefer forested areas,1
"Workers thus are socially isolated, having no support systems of family or friends, and no familiarity, contacts, or shared history with the communities where they are located",0
Is Egypt the most populated country in Africa,1
Does the giant otter inhabit South Africa,1
"Light though the sketching is, the historical argument is almost the most objectionable thing about the book, since it involves a distortion of the history of First Amendment law that is fairly plain even to someone who is not a professor at Yale Law School",0
Current and prior cigarette smoking history was assessed using questions adapted from the National Health Interview Survey [ 28],0
"Well, now that I have managed to touch on a bit of my marital history, my religious ignorance, announcing where I live, and a zit treatment, let's push away that plate of latkes and get serious",0
Do sea otters have long muscular tails,1
"Anecdotal support of Males' view is easy to find in Sydney Lewis' A Totally Alien Life-Form: Teenagers , an oral history of contemporary American adolescence",0
"The editorial says the Iraq bombing proves America's strength, not its weakness: ""In the middle of the greatest political excruciation in its modern history, the United States is doing the noble and necessary thing""",0
"Although other genomic and functional studies would be required to prove an orthologous relationship between NPM3 and NO29, they appear by several analyses to share a relatively close evolutionary history and as such could be considered candidate orthologs",0
Is foie gras often made from ducks,1
"According to Reader's Digest, is Finland best for living",1
"Among the highlights are the Desert Garden, with a vast maze of mature cacti; the Japanese garden, with its ponds, fish, and drum bridge; and the much-praised Rose Garden, showing the history of the rose over 2,000 years",0
"Brandon, who has a history of forgery, ends up in the women's section of jail",0
What field did Woodrow Wilson leave law practice to study,1
The patient with hypoglycemic-induced delirium virtually always has a history of insulin-dependent diabetes mellitus,0
"Who did President Lincoln promote of major general in the regular army, effective July 4",1
Yet its history extends far beyond its present-day appeal — artifacts found here date back to 2500 bc,0
Who did Sir Thomas Stamford Raffles work for,1
"If La Cenerentola --Rossini's version of the Cinderella story--has made it to the Met for the first time in the company's history, it is only because Bartoli brought it there",0
"If ABC's coverage of the big game is portentous, Clinton's place in history is as the fatty boy we first elected: Every time they cut to him, he was eating junk food",0
How did Fillmore ascend to the presidency,1
What is the most densely populated independent country in the world,1
History of Islet Transplantation,0
The natural history of vertebrates suggests that there were multiple solutions to the problem of CSD,0
"Unlike Framingham, family history of breast cancer did not alter the results related to BMD",0
Was Watt ranked 22nd in Michael H Hart 's list of the most influential figures in history ,1
"Bragança is a remote outpost, but one with a grand history",0
"5 See UAL letter, ""Flight 175-11Sep01 Passenger ACI Check-in History,"" July 11, 2002",0
What has Uruguay done to be competitive in agriculture,1
The cover story is an oral history of Stanley Kubrick told by film types and family members,0
"Indeed, as the capital ages, its history is increasingly becoming whatever associative past you can conjure up as ornament, reward, or weapon",0
"Both logic and history tell us that when workers are very scarce and jobs very abundant, employers will start bidding against each other to attract workers, wages will begin rising rapidly, and real growth will give way to inflation",0
"But I would think that most black-studies scholars are only partly heartened by this; for this rather triumphalist book (and Gates is important in black studies, in part, for the promotion of a triumphalist view of black history and black culture--globally speaking--which is why he is hated by Afrocentrists who take a somewhat different view of the long-term meaning of ""the coming of the white man"") is nothing less than the middlebrow arrival of black studies in American culture",0
"Süleyman the Magnificent, aged 25, ascended the throne and ruled for 46 years (1520–1566), the longest and most glorious reign in the history of the Ottomans",0
"The highest winds in recorded history had swept through Paris, and for us it was just another night",0
"So Chatterbox will pass over these excellent entries, taking the advice of contest entrant Jonathan Weisberg to look for a name that might at least conceivably wind up in a high-school history book",0
"Last night's best moment (which I suspect won't travel well out of context) was when the prom emcee thanked Buffy for saving so many students' lives that ""our class has the lowest mortality rate in the history of the school!""",0
What are the elephant's ears important for,1
"He will live into posterity on the strength of the five films he made with the great German director Werner Herzog, Fitzcarraldo and particularly Aguirre, Wrath of God ; his Aguirre, the languidly nihilistic martinet who leads an Amazon expedition toward nothingness, is one of the great human monsters in movie history",0
"As for Burgon, who later in life became Dean of Chichester, he retains a tiny niche in the history of English literature for two immortal lines of poetry he composed in 1845, much quoted and much admired ever since",0
"The popes were members of the Borja family, better known to history as Italy’s notorious Borgias",0
Is Ford one of only four former Presidents to live to 90 or more years of age ,1
"The gist of the coverage was that Saramago, a Portuguese novelist known for his playful excavations of Iberian history, is the real thing , an inheritor of the majestic European literary tradition and the last best hope for the serious novel",0
Conservatives hailed the ruling as history's verdict on Clinton,0
"The next pivotal episode in Polish history coincided with the end of World War I and the defeat of the Russians, Germans, and Austrians",0
"I'm sure, as the details emerge, we're going to read a lot stories about the whacked cultural and political climate of our country that allows a man with such a history to get ahold of not just a gun, but a vanful of weapons",0
What Roman province was Liechtenstein part of,1
This museum explores the relationship of Irish music to Irish history,0
"Such ahistorical relationships are particularly useful in cases where the goal is prediction of the current state of a sequence (for example, for making PCR primers), rather than reconstruction of its history",0
"The islands also lie close to the northern Greek mainland and the Balkans region, giving their history different influences than that of their neighbors farther south in the Aegean",0
"Not to be confused with farolitos, luminarias are small bonfires, and the custom of lighting them dates back to the Roman history of Spain",0
"And there are many other graves, their tombstones revealing the hardships of the town’s history",0
"The more than 50 museums — featuring everything from the worlds most prominent artists, to the history of hemp — quench the thirst for even the most ardent culture buff, and with 6,000 buildings from the 16th, 17th, and 18th centuries, the reflections of its illustrious history happily ripple on into the 21st century",0
Do turtles lay eggs underwater,1
What part of an elephant is very important for temperature regulation,1
"The rich permanent collection includes tapestries, furniture, and porcelain, but look out for the fascinating temporary exhibitions that are held here, featuring great styles and eras of design history such as Jugendstil, Bauhaus, and the American 1950s",0
Are wolves built for stamina,1
"Parents who capitalize on these moments ensure that their children internalize the history, values, knowledge, skills, habits, practices, and understandings of their families and communities",0
"However, in spite of the continual problem of eager but inexperienced biologists trying to extract DNA from specimens in the university museum, there is a sense that aDNA is starting to fill in the gaps in our understanding of key moments in evolutionary history",0
"Amitav Ghosh recounts the forgotten history of the Indian National Army, the Indian troops who deserted the British Army during World War II to fight for the Japanese",0
What happened in these positions in english,1
"Third, assuming we can use Feynman’s sum over histories, we still have possible quantum geometries, not an actual geometry",0
"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem",0
"The WP notes that this treatment is normally reserved for presidents or military leaders, adding that we've conferred this honor only 27 times in our history (the NYT says 26)",0
The Post fronts a long history of Bill Bradley's military service,0
Cigarette smoking has not been consistently associated with breast cancer risk [ 12 ]  The elevated OR observed in this study for the highest quartile of pack-years smoked might be due to differential participation by controls with a lower pack-year history or differential reporting of smoking history by cases and controls,0
"Nanjing means “Southern Capital,” a name conferred rather late in the city’s history",0
Is an elephant's skin tough,1
"Not if you think an art museum should be like a history museum, treating art as a cultural artifact that illustrates the story of a particular person, period, and place",0
Did the media contribute 156% to Singapore's GDP in 2001,1
But today the area’s golden history has been tarnished by abandonment and an ongoing parade of hustlers and lost souls wandering Hollywood Boulevard,0
"(Here Miller seems to be leaning too heavily on Jon Savage's Sex Pistols book of seven or eight years ago, another rock history overstuffed with intellectual genealogy",0
Is it true that it angered many residents of the thirteen colonies,1
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy",1
"Then one can imagine a sum over all histories that, by constructive interference alone, picks those pathways, hence fundamental amplitude laws, that minimize the change in the ways amplitudes propagate",0
How many species of penguins are there,1
Are Various sporting events popular in Finland ,1
How much do sea otters weigh,1
How many days did it take the Imperial Japanese Army to win the Battle of Singapore,1
"His characters don't have cousins and neighbors and colorful, labyrinthine histories",0
"It is a city of history, which shouts from every gable and street corner; a city of culture — of museums, and musicians, and artists; a city of learning with a large university; a city of trade with banking at its core; a multi-ethnic city of over 100 different nationalities; a city of “live and let live” as minority groups are able to flourish and innovative ideas to develop; and of course, a city of tourism, with over 32 million visitors per year",0
