Questions,Animals,Countries,Famous Personalities
Was John Calvin Coolidge Jr. was born in Las Vegas?,0,0,1
When did he die?,0,0,1
Are ducks in the Arctic Northern Hemisphere migratory?,1,0,0
How many suborders are turtles divided into?,1,0,0
Did the U.S. join the League of Nations?,0,1,0
Did Wilson have any siblings?,0,0,1
"Where does the word ""otter"" derive from?",1,0,0
Where is the most densely populated part of Canada?,0,1,0
Did John Adams represent the Continental Congress in Europe?,0,0,1
What is the life expectancy for men?,0,1,0
Was Wilson awarded the 1919 Nobel Peace Prize?,0,0,1
Is Liechtenstein the smallest German-speaking country in the world?,1,0,0
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,1,0,0
Was Grover Cleveland the twenty-seventh president of the United States?,0,0,1
When did Adams graduate from college?,0,0,1
Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,0,0,1
Is Matti Vanhanen the Prime Minister of Finland?,0,1,1
Is The Parliament of Ghana unicameral?,0,1,0
How do cuba and declining participation relate?,0,1,0
Did Ford need to do extra work to pay for college?,0,0,1
How many species of African elephants have been proposed?,1,0,0
How did early naturalists distinguish between leopards and panthers?,1,0,0
Have kangaroos fared well since European settlement?,1,0,0
What was the Consitution Act formerly called?,0,1,0
Do singaporeans enjoy squid?,0,1,0
What body of water lies to the south of Finland?,0,1,0
What did Coolidge do after graduating from Amherst?,0,0,1
Was Ulysses Grant a general in the American Civil War?,0,0,1
Is he most noted for his contributions to the theory of molarity and molecular weight?,0,0,1
How many species of penguins are there?,1,0,0
Is it the world 's fourth most populous country and the most populous muslim-majority nation?,0,1,0
What method of locomotion do Kangaroos Use?,1,0,0
The Historical Society of the Principality of Liechtenstein plays what?,0,1,0
What are some common predators of ducks?,1,0,0
How is Singapore's climate characterized?,0,1,0
Where did Coolidge's grandfather had government offices?,0,0,1
Is English Ghana's official language?,0,1,0
Was Monroe appointed Minister to France from 1794 to 1796?,0,0,1
Was King Victor Emmanuel III there to pay homage to Avogadro ?,0,0,1
Does Indonesia have the world's hightest level of biodiversity?,1,1,0
"Is it the second smallest independent country in south america , larger only than suriname and the french overseas department of french guiana?",0,1,0
Does otter give birth or lay egg?,1,0,0
Are ducks an accepted presence in some populated areas?,1,0,0
Did James Monroe attend the College of William and Mary?,0,0,1
Did Uruguay host the first ever World Cup?,0,1,0
Are the largest turtles aquatic?,1,0,0
Is it the world 's largest archipelagic state?,0,1,0
Is it true that singapore has several long - standing disputes with malaysia?,0,1,0
Was Ford active about Vietnamese affairs?,0,1,1
"Why do penguins ""tobaggan""?",1,0,0
Was his 1800 paper written in French ?,0,0,1
Was Celsius born in Uppsala in Sweden?,0,1,1
"Why do penguins ""tobaggan""?",1,0,0
How many municipalities is Liechtenstein divided into?,0,1,0
Does the native pronunciation of Qatar sound like 'cutter'?,0,1,0
Is Indonesia a republic?,0,1,0
How much of the population is of white European descent?,0,1,0
Are elephants good swimmers?,1,0,0
What Roman province was Liechtenstein part of?,0,1,0
Why are side-necked turtles called side-necked turtles?,1,0,0
Was King Victor Emmanuel III there to pay homage to Avogadro ?,0,0,1
What bordered by Saudi?,0,1,0
Are otters playful animals?,1,0,0
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",0,0,1
How many regions is Ghana divided into?,0,1,0
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,1,0,0
Are Native Ghanaian languages divided into two linguistic subfamilies of the Niger-Congo language family ?,0,1,0
What is a hybrid animal resulting from a union between a leopard and a puma?,1,0,0
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,0,1,1
Does Romania border Hungary?,0,1,0
What is the smallest German-speaking country in the world?,0,1,0
What is largest polar bear on record?,1,0,0
What was Wagadugu?,0,0,1
Which state were Coolidge born in?,0,0,1
"Was watt a gentleman, greatly respected by other prominent men of the Industrial Revolution?",0,0,1
Was King Victor Emmanuel III there to pay homage to Avogadro ?,0,0,1
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",1,0,0
Is it true that volta entered retirement in spain?,0,1,1
"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",0,1,0
What are turtle eggs covered in when they incubate?,1,0,0
Who appointed Harlan Fiske Stone to the Supreme Court?,0,0,1
Who founded Montevideo?,0,0,1
Is singapore the 17th wealthiest country in the world in terms of gdp per capita?,0,1,0
"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?",0,1,1
What happens when mothers lose a chick?,1,0,0
Did John Adams go to Harvard? ,0,0,1
What did Cleveland's opponents say in 1884 to counter his innocent image?,0,0,1
What religions are found in Uruguay?,0,1,0
When did the Gettysburg address argue that America was born?,0,1,1
Did Lincoln win the election of 1860?,0,0,1
Where do sea turtles lay their eggs?,1,0,0
Did Lincoln's Wife's Family support slavery?,0,0,1
Was Grant's father-in-law a Democrat?,0,0,1
How does the distribution size of the leopard compare to the distribution of other wild cats?,1,0,0
Who did Sir Thomas Stamford Raffles work for?,0,0,1
Where is Uruguay's oldest church?,0,1,0
Was Grant elected president as a Republican?,0,0,1
Did John Adams represent the Continental Congress in Europe?,0,1,1
Where is Finland located?,0,1,0
Why did Coolidge not attend law school?,0,0,1
Is the Celsius crater on the Moon named after him ?,0,0,1
Do sea otters live along the Pacific coast?,1,0,0
Is Indonesia a monarchy with a presidential system?,0,1,0
What European countries established states in Ghana?,0,1,0
Are ducks in the Arctic Northern Hemisphere migratory?,1,0,0
Were the Leopard men a West African secret society who practised cannibalism ?,1,1,0
Is polar bear a mammal?,1,0,0
Does Egypt receive the least rainfall in the world?,0,1,0
Do penguins have a better than average sense of hearing for birds?,1,0,0
Did lincoln have 18 months of schooling?,0,0,1
Who were Grover Cleveland's parents?,0,0,1
Was James Monroe President of the United States?,0,1,1
How much does a leopard weigh?,1,0,0
What is the estimated population of Egypt?,0,1,0
How much time to penguins spend on land?,1,0,0
Is Uruguay a member of the Cairns Group of exporters of agricultural products ?,0,1,0
When did Ghana achieve independence from the United Kingdom?,0,1,0
The bears sometimes what?,1,0,0
Are elephant populations in West Africa generally small and fragmented?,1,1,0
Did Roosevelt support racial integration in schools?,0,0,1
What was Grant's political affiliation?,0,0,1
What are turtle eggs covered in when they incubate?,1,0,0
For how long was Ford a member of the House of Representatives?,0,0,1
When did Goh Chok Tong succeed Lee as Prime Minister?,0,0,1
When was Coolidge born?,0,0,1
Are large pythons potential prey for leopards?,1,0,0
Where was James Monroe shot?,0,0,1
Did ford attend the University of Michigan?,0,0,1
Is Uruguay's capital Montevideo?,0,1,0
How tall were the tallest prehistoric penguins?,1,0,0
Are otters herbivores?,1,0,0
Was Ford a member of the House of Representatives?,0,0,1
What is the smallest suborder of turtles?,1,0,0
Is a polar bear at high risk of extinction?,1,0,0
"Did ford get an award called ""Congressman's congressman""?",0,0,1
Is Grover Cleveland honest?,0,0,1
How much does a leopard weigh?,1,0,0
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",0,1,1
Who was Roosevelt's presidential hero?,0,0,1
Do ducks forage underwater?,1,0,0
How has Canada helped UN peacekeeping efforts?,0,1,0
Who helped to fund Roosevelt's African safari?,0,1,1
Are wolves built for stamina?,1,0,0
Are there many Roma in Romania?,0,1,0
Is the capital city Oslo?,0,1,0
How does the distribution size of the leopard compare to the distribution of other wild cats?,1,0,0
What is a collective noun for kangaroos?,1,0,0
Does a polar bear live in the Arctic?,1,0,0
